"fid","new_commun","old_commun","bio_01","bio_02","bio_03","bio_04","bio_05","bio_06","bio_07","bio_08","bio_09","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",20.6547794342041,23.3940887451172,17.264533996582,2118.96435546875,388.394195556641,57.5216331481934,72.6474456787109,1067.9541015625,188.85237121582,1026.46716308594,231.694305419922,10.0822334289551,61.7317085266113,255.675628662109,28.1557083129883,11.8239593505859,16.331750869751,23.2817153930664,18.8676090240479
4,"AMBOHIMIERA","AMBOHIMIERA",19.0617980957031,21.7958374023438,15.5900392532349,1846.82568359375,345.702575683594,51.0382652282715,75.13623046875,939.904968261719,162.650955200195,924.244201660156,182.388473510742,9.79454326629639,60.8064498901367,259.051666259766,26.3889675140381,10.2839546203613,16.1050128936768,21.747745513916,16.6858558654785
9,"ANALAMPASINA","ANALAMPASINA",20.0955257415771,22.8410034179688,16.643648147583,1951.51647949219,366.473815917969,53.5956878662109,75.8897247314453,994.474426269531,166.463424682617,973.854309082031,189.149780273438,10.22447681427,61.6889762878418,258.536193847656,27.6701278686523,11.0964670181274,16.5736598968506,22.7417984008789,18.1010990142822
6,"ANDRORANGAVOLA","ANDRORANGAVOLA",21.7372627258301,24.4161319732666,18.5542659759521,2319.93188476562,406.135345458984,65.1485137939453,68.5266647338867,1183.59204101562,234.423950195312,1073.48986816406,298.076721191406,9.12008476257324,59.6590003967285,244.177200317383,28.7508449554443,13.4642381668091,15.2866067886353,24.378023147583,19.9349632263184
7,"AMBIABE","ANDRORANGAVOLA",21.1415863037109,23.8380222320557,17.8526859283447,2241.47094726562,407.007080078125,58.9203453063965,71.6089096069336,1153.70007324219,207.045013427734,1082.474609375,265.90673828125,9.45216941833496,60.1051177978516,249.045333862305,28.3136787414551,12.5879287719727,15.7257480621338,23.7730388641357,19.3743629455566
14,"ANTARETRA","ANTARETRA",21.9610824584961,24.6504917144775,18.8030242919922,2350.07495117188,412.754638671875,66.7053527832031,69.2244338989258,1208.4814453125,239.547134399414,1087.783203125,301.48291015625,8.96426296234131,59.5416107177734,243.960586547852,28.9198169708252,13.8644227981567,15.0553932189941,24.6166248321533,20.0941867828369
15,"ANTSINDRA","ANTSINDRA",21.3521270751953,24.0351161956787,18.0740985870361,2273.4091796875,405.293365478516,61.6812210083008,69.2823791503906,1140.82824707031,216.576034545898,1063.5458984375,279.940490722656,9.5925350189209,61.3631820678711,248.98974609375,28.5466632843018,12.9144468307495,15.6322154998779,23.954273223877,19.5493335723877
5,"AMPASINAMBO","FASINTSARA",18.5716705322266,21.3638172149658,15.1145248413086,1881.02685546875,336.355560302734,52.481143951416,72.8708419799805,925.714660644531,164.566421508789,920.163452148438,183.492111206055,9.71606826782227,61.290355682373,262.636535644531,25.9597148895264,10.109471321106,15.8502416610718,21.3268280029297,16.0388412475586
11,"FASINTSARA","FASINTSARA",20.4470367431641,23.2081909179688,17.0549335479736,2102.67749023438,378.7451171875,57.0864067077637,71.4925689697266,1042.98278808594,188.999694824219,1005.85192871094,235.785797119141,10.0943117141724,61.8640098571777,257.25244140625,28.0088348388672,11.6924915313721,16.3163452148438,23.1032104492188,18.6101551055908
8,"IFANADIANA","IFANADIANA",21.2394142150879,23.9410057067871,17.9776153564453,2369.486328125,427.028961181641,59.3027153015137,71.0459976196289,1219.19860839844,218.286071777344,1133.513671875,289.563446044922,9.34514617919922,60.1846084594727,248.526092529297,28.3487987518311,12.8223896026611,15.5264072418213,23.8820133209229,19.4373798370361
3,"KELILALINA","KELILALINA",20.643461227417,23.3539924621582,17.2954521179199,2157.2802734375,400.388824462891,55.6319961547852,73.5648803710938,1113.76782226562,189.811996459961,1067.130859375,242.86457824707,9.67552471160889,60.8503494262695,251.947906494141,27.8820915222168,11.9815692901611,15.9005212783813,23.2660942077637,18.8802165985107
12,"MAROHARATRA","MAROHARATRA",20.9434852600098,23.6627159118652,17.6285037994385,2208.25219726562,386.285614013672,60.5566177368164,68.4499130249023,1082.03723144531,209.448944091797,1023.00189208984,273.161468505859,9.74090480804443,61.5677833557129,252.623382568359,28.2892017364502,12.4682340621948,15.8209667205811,23.5792922973633,19.092212677002
13,"MAROTOKO","MAROTOKO",22.0958271026611,24.7685832977295,18.9427032470703,2269.84301757812,394.842529296875,66.9641036987305,68.1556396484375,1159.61437988281,236.47688293457,1046.31481933594,292.383728027344,9.10059928894043,59.5283737182617,242.774169921875,29.0918655395508,13.8044414520264,15.2874240875244,24.7358989715576,20.3027057647705
1,"RANOMAFANA","RANOMAFANA",18.9981956481934,21.7380886077881,15.538275718689,1809.86022949219,338.355621337891,50.3586883544922,74.7972183227539,927.187438964844,161.486587524414,915.460388183594,181.436874389648,9.34980964660645,59.5875015258789,258.024627685547,26.1240386962891,10.434006690979,15.6900320053101,21.7014694213867,16.5829029083252
10,"TSARATANANA","TSARATANANA",21.446590423584,24.1335849761963,18.189416885376,2328.56201171875,419.297210693359,61.7849426269531,70.6126327514648,1190.25463867188,220.433166503906,1104.65625,283.302215576172,9.47549057006836,61.0386772155762,247.931274414062,28.562915802002,13.0404443740845,15.5224733352661,24.0659484863281,19.6439094543457
