fid,new_commun,old_commun,mean_pev,date
1,RANOMAFANA,RANOMAFANA,-0.20862196608307182,2000-06
10,TSARATANANA,TSARATANANA,-0.20582350354956305,2000-06
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.15333113123147907,2000-07
4,AMBOHIMIERA,AMBOHIMIERA,-0.13925516376209296,2000-07
9,ANALAMPASINA,ANALAMPASINA,-0.2024875654299939,2000-07
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.1633838073926321,2000-07
7,AMBIABE,ANDRORANGAVOLA,-0.2010074083188719,2000-07
14,ANTARETRA,ANTARETRA,-0.2196049678929541,2000-07
15,ANTSINDRA,ANTSINDRA,-0.1999393526930618,2000-07
5,AMPASINAMBO,FASINTSARA,-0.2250300770808122,2000-07
11,FASINTSARA,FASINTSARA,-0.19771112850924524,2000-07
8,IFANADIANA,IFANADIANA,-0.21783304209099044,2000-07
3,KELILALINA,KELILALINA,-0.2136066606261269,2000-07
12,MAROHARATRA,MAROHARATRA,-0.19486253906234993,2000-07
13,MAROTOKO,MAROTOKO,-0.16419469583733867,2000-07
1,RANOMAFANA,RANOMAFANA,-0.20102385456837876,2000-07
10,TSARATANANA,TSARATANANA,-0.2049512942783727,2000-07
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.20476655358770657,2000-08
4,AMBOHIMIERA,AMBOHIMIERA,-0.184561812697641,2000-08
9,ANALAMPASINA,ANALAMPASINA,-0.2737710047330845,2000-08
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.20308303079182963,2000-08
7,AMBIABE,ANDRORANGAVOLA,-0.25334440839961675,2000-08
14,ANTARETRA,ANTARETRA,-0.2779116321591229,2000-08
15,ANTSINDRA,ANTSINDRA,-0.26665042504724706,2000-08
5,AMPASINAMBO,FASINTSARA,-0.3153577090330689,2000-08
11,FASINTSARA,FASINTSARA,-0.26668175492587787,2000-08
8,IFANADIANA,IFANADIANA,-0.2744752687593981,2000-08
3,KELILALINA,KELILALINA,-0.2725095155950161,2000-08
12,MAROHARATRA,MAROHARATRA,-0.2646145997391896,2000-08
13,MAROTOKO,MAROTOKO,-0.20085101239025901,2000-08
1,RANOMAFANA,RANOMAFANA,-0.26126829481043623,2000-08
10,TSARATANANA,TSARATANANA,-0.2658792568564942,2000-08
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.33625775911558425,2000-09
4,AMBOHIMIERA,AMBOHIMIERA,-0.29819909682844525,2000-09
9,ANALAMPASINA,ANALAMPASINA,-0.45308934032330783,2000-09
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3506669070640102,2000-09
7,AMBIABE,ANDRORANGAVOLA,-0.4492599004718662,2000-09
14,ANTARETRA,ANTARETRA,-0.4871726563602203,2000-09
15,ANTSINDRA,ANTSINDRA,-0.4561935602279672,2000-09
5,AMPASINAMBO,FASINTSARA,-0.5083389041988402,2000-09
11,FASINTSARA,FASINTSARA,-0.43784887316276966,2000-09
8,IFANADIANA,IFANADIANA,-0.4890566846791356,2000-09
3,KELILALINA,KELILALINA,-0.4818767201141768,2000-09
12,MAROHARATRA,MAROHARATRA,-0.43166277319067176,2000-09
13,MAROTOKO,MAROTOKO,-0.3467191766458058,2000-09
1,RANOMAFANA,RANOMAFANA,-0.44422309231528245,2000-09
10,TSARATANANA,TSARATANANA,-0.4654635092219388,2000-09
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.42557935538026354,2000-10
4,AMBOHIMIERA,AMBOHIMIERA,-0.368034125630472,2000-10
9,ANALAMPASINA,ANALAMPASINA,-0.5568897970133874,2000-10
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.4162227702953683,2000-10
7,AMBIABE,ANDRORANGAVOLA,-0.521475342649751,2000-10
14,ANTARETRA,ANTARETRA,-0.587912059964565,2000-10
15,ANTSINDRA,ANTSINDRA,-0.5876151540198723,2000-10
5,AMPASINAMBO,FASINTSARA,-0.6315503532020905,2000-10
11,FASINTSARA,FASINTSARA,-0.554196986025355,2000-10
8,IFANADIANA,IFANADIANA,-0.5808940738085545,2000-10
3,KELILALINA,KELILALINA,-0.5666935822394752,2000-10
12,MAROHARATRA,MAROHARATRA,-0.5585313038147149,2000-10
13,MAROTOKO,MAROTOKO,-0.4117826432508201,2000-10
1,RANOMAFANA,RANOMAFANA,-0.5175607926090543,2000-10
10,TSARATANANA,TSARATANANA,-0.5774908234942318,2000-10
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.30385685504562915,2000-11
4,AMBOHIMIERA,AMBOHIMIERA,-0.2609290112069595,2000-11
9,ANALAMPASINA,ANALAMPASINA,-0.3728969916699724,2000-11
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3315873526809054,2000-11
7,AMBIABE,ANDRORANGAVOLA,-0.38234859821172285,2000-11
14,ANTARETRA,ANTARETRA,-0.4611248286016016,2000-11
15,ANTSINDRA,ANTSINDRA,-0.4260738153614695,2000-11
5,AMPASINAMBO,FASINTSARA,-0.4307281717452455,2000-11
11,FASINTSARA,FASINTSARA,-0.3886192276362068,2000-11
8,IFANADIANA,IFANADIANA,-0.4262546968346631,2000-11
3,KELILALINA,KELILALINA,-0.39694638003057203,2000-11
12,MAROHARATRA,MAROHARATRA,-0.4057990856526177,2000-11
13,MAROTOKO,MAROTOKO,-0.33816859596227117,2000-11
1,RANOMAFANA,RANOMAFANA,-0.35388379875218706,2000-11
10,TSARATANANA,TSARATANANA,-0.4158015118750904,2000-11
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.3175151382254689,2000-12
4,AMBOHIMIERA,AMBOHIMIERA,-0.2813547115839908,2000-12
9,ANALAMPASINA,ANALAMPASINA,-0.40520613515064174,2000-12
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.33204985983100754,2000-12
7,AMBIABE,ANDRORANGAVOLA,-0.39925568220061275,2000-12
14,ANTARETRA,ANTARETRA,-0.4480099681070547,2000-12
15,ANTSINDRA,ANTSINDRA,-0.42774987401264664,2000-12
5,AMPASINAMBO,FASINTSARA,-0.44734455596179423,2000-12
11,FASINTSARA,FASINTSARA,-0.4032793336489966,2000-12
8,IFANADIANA,IFANADIANA,-0.43507537157688103,2000-12
3,KELILALINA,KELILALINA,-0.42273149720731945,2000-12
12,MAROHARATRA,MAROHARATRA,-0.40475678003250903,2000-12
13,MAROTOKO,MAROTOKO,-0.33266001589498223,2000-12
1,RANOMAFANA,RANOMAFANA,-0.3900838459276717,2000-12
10,TSARATANANA,TSARATANANA,-0.4235909542055161,2000-12
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.2363275573158071,2001-01
4,AMBOHIMIERA,AMBOHIMIERA,-0.21888861007644858,2001-01
9,ANALAMPASINA,ANALAMPASINA,-0.29687156000990805,2001-01
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.27747444259697607,2001-01
7,AMBIABE,ANDRORANGAVOLA,-0.3229704706556597,2001-01
14,ANTARETRA,ANTARETRA,-0.3711965200721418,2001-01
15,ANTSINDRA,ANTSINDRA,-0.31320474375132956,2001-01
5,AMPASINAMBO,FASINTSARA,-0.31620856999690305,2001-01
11,FASINTSARA,FASINTSARA,-0.2882567541358358,2001-01
8,IFANADIANA,IFANADIANA,-0.3537703516702229,2001-01
3,KELILALINA,KELILALINA,-0.33675721504508066,2001-01
12,MAROHARATRA,MAROHARATRA,-0.2852743893035193,2001-01
13,MAROTOKO,MAROTOKO,-0.2810710995116326,2001-01
1,RANOMAFANA,RANOMAFANA,-0.30675848433428016,2001-01
10,TSARATANANA,TSARATANANA,-0.33177876701507825,2001-01
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.3297329198119969,2001-02
4,AMBOHIMIERA,AMBOHIMIERA,-0.28817880201210583,2001-02
9,ANALAMPASINA,ANALAMPASINA,-0.41561970634735207,2001-02
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.33805575898337775,2001-02
7,AMBIABE,ANDRORANGAVOLA,-0.40656993065200675,2001-02
14,ANTARETRA,ANTARETRA,-0.45512017340152555,2001-02
15,ANTSINDRA,ANTSINDRA,-0.4429371844659535,2001-02
5,AMPASINAMBO,FASINTSARA,-0.46962408785878135,2001-02
11,FASINTSARA,FASINTSARA,-0.4223074840746809,2001-02
8,IFANADIANA,IFANADIANA,-0.4504235581132913,2001-02
3,KELILALINA,KELILALINA,-0.4330559540175835,2001-02
12,MAROHARATRA,MAROHARATRA,-0.42205564920100225,2001-02
13,MAROTOKO,MAROTOKO,-0.3355663165411871,2001-02
1,RANOMAFANA,RANOMAFANA,-0.3948035842775583,2001-02
10,TSARATANANA,TSARATANANA,-0.4416834188182011,2001-02
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.29627666068705394,2001-03
4,AMBOHIMIERA,AMBOHIMIERA,-0.260190421365239,2001-03
9,ANALAMPASINA,ANALAMPASINA,-0.37157620743079545,2001-03
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.30262457482519634,2001-03
7,AMBIABE,ANDRORANGAVOLA,-0.3658536055750668,2001-03
14,ANTARETRA,ANTARETRA,-0.40289184937669165,2001-03
15,ANTSINDRA,ANTSINDRA,-0.3842024958652772,2001-03
5,AMPASINAMBO,FASINTSARA,-0.4284807871316023,2001-03
11,FASINTSARA,FASINTSARA,-0.3782766712408118,2001-03
8,IFANADIANA,IFANADIANA,-0.3959666765610182,2001-03
3,KELILALINA,KELILALINA,-0.3835996839775155,2001-03
12,MAROHARATRA,MAROHARATRA,-0.3736439434383111,2001-03
13,MAROTOKO,MAROTOKO,-0.30161159004373744,2001-03
1,RANOMAFANA,RANOMAFANA,-0.3554738100519481,2001-03
10,TSARATANANA,TSARATANANA,-0.38342371216041565,2001-03
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.2643381853621678,2001-04
4,AMBOHIMIERA,AMBOHIMIERA,-0.2386491674018678,2001-04
9,ANALAMPASINA,ANALAMPASINA,-0.3491538959115851,2001-04
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.26738203281407463,2001-04
7,AMBIABE,ANDRORANGAVOLA,-0.33894894631588957,2001-04
14,ANTARETRA,ANTARETRA,-0.36615955132166467,2001-04
15,ANTSINDRA,ANTSINDRA,-0.34563997860726636,2001-04
5,AMPASINAMBO,FASINTSARA,-0.39617852848005014,2001-04
11,FASINTSARA,FASINTSARA,-0.3387697422093539,2001-04
8,IFANADIANA,IFANADIANA,-0.36758368199523744,2001-04
3,KELILALINA,KELILALINA,-0.3659741373954777,2001-04
12,MAROHARATRA,MAROHARATRA,-0.3327584471702453,2001-04
13,MAROTOKO,MAROTOKO,-0.26165057684367804,2001-04
1,RANOMAFANA,RANOMAFANA,-0.34698260570981926,2001-04
10,TSARATANANA,TSARATANANA,-0.34976282323182833,2001-04
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.19765158038071204,2001-05
4,AMBOHIMIERA,AMBOHIMIERA,-0.1853866142434086,2001-05
9,ANALAMPASINA,ANALAMPASINA,-0.2667893158351162,2001-05
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.20451033833993892,2001-05
7,AMBIABE,ANDRORANGAVOLA,-0.2620898197886577,2001-05
14,ANTARETRA,ANTARETRA,-0.2739322743513792,2001-05
15,ANTSINDRA,ANTSINDRA,-0.2559174364581076,2001-05
5,AMPASINAMBO,FASINTSARA,-0.2978279406676875,2001-05
11,FASINTSARA,FASINTSARA,-0.25240020768260163,2001-05
8,IFANADIANA,IFANADIANA,-0.27808336874843703,2001-05
3,KELILALINA,KELILALINA,-0.2823854325133038,2001-05
12,MAROHARATRA,MAROHARATRA,-0.24551684808055302,2001-05
13,MAROTOKO,MAROTOKO,-0.2011654508223882,2001-05
1,RANOMAFANA,RANOMAFANA,-0.27828330636630955,2001-05
10,TSARATANANA,TSARATANANA,-0.26133816633254947,2001-05
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.14413959378568109,2001-06
4,AMBOHIMIERA,AMBOHIMIERA,-0.13538632612334026,2001-06
9,ANALAMPASINA,ANALAMPASINA,-0.19193208541897128,2001-06
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.1571238580077977,2001-06
7,AMBIABE,ANDRORANGAVOLA,-0.1956289298586255,2001-06
14,ANTARETRA,ANTARETRA,-0.2158907849629025,2001-06
15,ANTSINDRA,ANTSINDRA,-0.1890725927360176,2001-06
5,AMPASINAMBO,FASINTSARA,-0.2216331565384518,2001-06
11,FASINTSARA,FASINTSARA,-0.1855791233067004,2001-06
8,IFANADIANA,IFANADIANA,-0.2115518745437532,2001-06
3,KELILALINA,KELILALINA,-0.21152009203231187,2001-06
12,MAROHARATRA,MAROHARATRA,-0.1842777464417242,2001-06
13,MAROTOKO,MAROTOKO,-0.15640251124703589,2001-06
1,RANOMAFANA,RANOMAFANA,-0.20317604418491916,2001-06
10,TSARATANANA,TSARATANANA,-0.1981200762267705,2001-06
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.18327893187341582,2001-07
4,AMBOHIMIERA,AMBOHIMIERA,-0.16304206925207754,2001-07
9,ANALAMPASINA,ANALAMPASINA,-0.24468033651902765,2001-07
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.18994195750217294,2001-07
7,AMBIABE,ANDRORANGAVOLA,-0.24169085857502787,2001-07
14,ANTARETRA,ANTARETRA,-0.25807874907280387,2001-07
15,ANTSINDRA,ANTSINDRA,-0.2384181510826085,2001-07
5,AMPASINAMBO,FASINTSARA,-0.2851455193653139,2001-07
11,FASINTSARA,FASINTSARA,-0.24153229875279633,2001-07
8,IFANADIANA,IFANADIANA,-0.2614234855018916,2001-07
3,KELILALINA,KELILALINA,-0.2589260442175784,2001-07
12,MAROHARATRA,MAROHARATRA,-0.23563964076285934,2001-07
13,MAROTOKO,MAROTOKO,-0.18751354488861396,2001-07
1,RANOMAFANA,RANOMAFANA,-0.24230111074083616,2001-07
10,TSARATANANA,TSARATANANA,-0.2459546668589059,2001-07
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.2629479429877616,2001-08
4,AMBOHIMIERA,AMBOHIMIERA,-0.234187169420431,2001-08
9,ANALAMPASINA,ANALAMPASINA,-0.3555156089773297,2001-08
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.26098814899481404,2001-08
7,AMBIABE,ANDRORANGAVOLA,-0.33195885639129824,2001-08
14,ANTARETRA,ANTARETRA,-0.3593405994147433,2001-08
15,ANTSINDRA,ANTSINDRA,-0.34638875549238374,2001-08
5,AMPASINAMBO,FASINTSARA,-0.40953076624049395,2001-08
11,FASINTSARA,FASINTSARA,-0.34686370057955623,2001-08
8,IFANADIANA,IFANADIANA,-0.3569474954171461,2001-08
3,KELILALINA,KELILALINA,-0.35840293831941955,2001-08
12,MAROHARATRA,MAROHARATRA,-0.3437502720391964,2001-08
13,MAROTOKO,MAROTOKO,-0.2605061308131164,2001-08
1,RANOMAFANA,RANOMAFANA,-0.3407628706096198,2001-08
10,TSARATANANA,TSARATANANA,-0.34328883880879285,2001-08
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.36249540356449494,2001-09
4,AMBOHIMIERA,AMBOHIMIERA,-0.3107754819536697,2001-09
9,ANALAMPASINA,ANALAMPASINA,-0.48941195128799764,2001-09
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3503693041894857,2001-09
7,AMBIABE,ANDRORANGAVOLA,-0.4543976355250844,2001-09
14,ANTARETRA,ANTARETRA,-0.48453333413628813,2001-09
15,ANTSINDRA,ANTSINDRA,-0.48486117287811187,2001-09
5,AMPASINAMBO,FASINTSARA,-0.5726878893964167,2001-09
11,FASINTSARA,FASINTSARA,-0.4907250951813683,2001-09
8,IFANADIANA,IFANADIANA,-0.49299676106540835,2001-09
3,KELILALINA,KELILALINA,-0.4912495113474545,2001-09
12,MAROHARATRA,MAROHARATRA,-0.48399207070066697,2001-09
13,MAROTOKO,MAROTOKO,-0.344595423969352,2001-09
1,RANOMAFANA,RANOMAFANA,-0.4564604523809674,2001-09
10,TSARATANANA,TSARATANANA,-0.47614383275298056,2001-09
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.37777976093608406,2001-10
4,AMBOHIMIERA,AMBOHIMIERA,-0.3238302189243537,2001-10
9,ANALAMPASINA,ANALAMPASINA,-0.4900041495760282,2001-10
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.3688666332121549,2001-10
7,AMBIABE,ANDRORANGAVOLA,-0.45402147511884,2001-10
14,ANTARETRA,ANTARETRA,-0.5161249314740454,2001-10
15,ANTSINDRA,ANTSINDRA,-0.5193219964577909,2001-10
5,AMPASINAMBO,FASINTSARA,-0.576214581506556,2001-10
11,FASINTSARA,FASINTSARA,-0.5019624475173113,2001-10
8,IFANADIANA,IFANADIANA,-0.4980718009455927,2001-10
3,KELILALINA,KELILALINA,-0.4847091132276715,2001-10
12,MAROHARATRA,MAROHARATRA,-0.5150843698699445,2001-10
13,MAROTOKO,MAROTOKO,-0.3708308517701877,2001-10
1,RANOMAFANA,RANOMAFANA,-0.447596005111681,2001-10
10,TSARATANANA,TSARATANANA,-0.49695784260093673,2001-10
2,AMBOHIMANGA DU SUD,AMBOHIMANGA DU SUD,-0.5505046469846625,2001-11
4,AMBOHIMIERA,AMBOHIMIERA,-0.45240160317432293,2001-11
9,ANALAMPASINA,ANALAMPASINA,-0.7018185614620374,2001-11
6,ANDRORANGAVOLA,ANDRORANGAVOLA,-0.522576971688749,2001-11
7,AMBIABE,ANDRORANGAVOLA,-0.6504736239328844,2001-11
14,ANTARETRA,ANTARETRA,-0.7521827058822572,2001-11
15,ANTSINDRA,ANTSINDRA,-0.7898003413263561,2001-11
5,AMPASINAMBO,FASINTSARA,-0.8240427934879047,2001-11
11,FASINTSARA,FASINTSARA,-0.7369344256840111,2001-11
