"fid","comm_fkt","new_commun","old_commun","tmin_01","tmin_02","tmin_03","tmin_04","tmin_05","tmin_06","tmin_07","tmin_08","tmin_09","tmin_10","tmin_11","tmin_12","tmax_01","tmax_02","tmax_03","tmax_04","tmax_05","tmax_06","tmax_07","tmax_08","tmax_09","tmax_10","tmax_11","tmax_12","tavg_01","tavg_02","tavg_03","tavg_04","tavg_05","tavg_06","tavg_07","tavg_08","tavg_09","tavg_10","tavg_11","tavg_12","prec_01","prec_02","prec_03","prec_04","prec_05","prec_06","prec_07","prec_08","prec_09","prec_10","prec_11","prec_12","srad_01","srad_02","srad_03","srad_04","srad_05","srad_06","srad_07","srad_08","srad_09","srad_10","srad_11","srad_12","wind_01","wind_02","wind_03","wind_04","wind_05","wind_06","wind_07","wind_08","wind_09","wind_10","wind_11","wind_12","vapr_01","vapr_02","vapr_03","vapr_04","vapr_05","vapr_06","vapr_07","vapr_08","vapr_09","vapr_10","vapr_11","vapr_12"
1,"MAROHARATRA_AMPASIMPOTSY","MAROHARATRA","MAROHARATRA",19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588,19.0197868347168,18.865592956543,18.3286056518555,16.8856811523438,14.0132341384888,12.4424839019775,11.906569480896,12.1065692901611,13.0956258773804,15.1769123077393,16.8868846893311,18.1566562652588
10,"AMBOHIMANGA DU SUD_AMBATOFANOKONANA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766,19.0172386169434,18.7806701660156,18.2242450714111,16.8073215484619,14.0522270202637,12.307825088501,11.7028017044067,12.016731262207,13.1574420928955,15.2277135848999,16.918436050415,18.2303619384766
100,"AMPASINAMBO_FIADANANA NORD","AMPASINAMBO","FASINTSARA",16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404,16.7694129943848,16.6189308166504,16.0492382049561,14.485011100769,11.8783378601074,10.1716651916504,9.70590209960938,9.7245512008667,10.7926750183105,12.7648315429688,14.5548362731934,15.9160289764404
101,"MAROHARATRA_MAROHARATRA","MAROHARATRA","MAROHARATRA",19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889,19.1471252441406,19.0205783843994,18.4252071380615,17.0490608215332,14.2594957351685,12.6557950973511,12.1465587615967,12.3025140762329,13.3135032653809,15.2834300994873,17.0078716278076,18.2484111785889
102,"ANTSINDRA_KIANJAVATO","ANTSINDRA","ANTSINDRA",19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883,19.2388439178467,19.0794448852539,18.4865646362305,17.1074962615967,14.4899930953979,12.7535095214844,12.2184343338013,12.4169731140137,13.4161071777344,15.4840307235718,17.0608329772949,18.3764114379883
103,"ANTSINDRA_AMBATOVORY","ANTSINDRA","ANTSINDRA",20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001,20.5391120910645,20.328685760498,19.7973880767822,18.5318183898926,15.7603559494019,14.0420980453491,13.5149936676025,13.7602109909058,14.7822952270508,16.8271293640137,18.4414100646973,19.674036026001
104,"ANTSINDRA_ANTSINDRA","ANTSINDRA","ANTSINDRA",19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768,19.6801624298096,19.5090465545654,19.0104503631592,17.6226253509521,14.926308631897,13.2197751998901,12.7051753997803,12.9412860870361,13.9516639709473,15.9875154495239,17.5872478485107,18.8716144561768
105,"ANTSINDRA_BEFOTAKA","ANTSINDRA","ANTSINDRA",20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459,20.6632804870605,20.4100589752197,19.8976287841797,18.6425724029541,15.8738298416138,14.2011451721191,13.6401233673096,13.7784986495972,14.835150718689,16.8299655914307,18.4548454284668,19.7558650970459
106,"ANTSINDRA_AMPITABE","ANTSINDRA","ANTSINDRA",21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027,21.4800796508789,21.2662239074707,20.6887073516846,19.3890190124512,16.6225624084473,14.903660774231,14.4321088790894,14.5965185165405,15.7467231750488,17.6884365081787,19.2890167236328,20.5078086853027
107,"AMBOHIMANGA DU SUD_MANDROALINA","AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143,18.9391822814941,18.7200756072998,18.1583003997803,16.6252098083496,13.9489145278931,12.1963510513306,11.6273622512817,11.8937139511108,12.9840183258057,15.0779113769531,16.7092266082764,18.1044025421143
