"fid","new_commun","old_commun","tmin_01","tmin_02","tmin_03","tmin_04","tmin_05","tmin_06","tmin_07","tmin_08","tmin_09","tmin_10","tmin_11","tmin_12","tmax_01","tmax_02","tmax_03","tmax_04","tmax_05","tmax_06","tmax_07","tmax_08","tmax_09","tmax_10","tmax_11","tmax_12","tavg_01","tavg_02","tavg_03","tavg_04","tavg_05","tavg_06","tavg_07","tavg_08","tavg_09","tavg_10","tavg_11","tavg_12","prec_01","prec_02","prec_03","prec_04","prec_05","prec_06","prec_07","prec_08","prec_09","prec_10","prec_11","prec_12","srad_01","srad_02","srad_03","srad_04","srad_05","srad_06","srad_07","srad_08","srad_09","srad_10","srad_11","srad_12","wind_01","wind_02","wind_03","wind_04","wind_05","wind_06","wind_07","wind_08","wind_09","wind_10","wind_11","wind_12","vapr_01","vapr_02","vapr_03","vapr_04","vapr_05","vapr_06","vapr_07","vapr_08","vapr_09","vapr_10","vapr_11","vapr_12"
1,"RANOMAFANA","RANOMAFANA",17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115,17.7409763336182,17.5063972473145,16.9802513122559,15.5139770507812,13.0132751464844,11.1032123565674,10.434006690979,10.7514991760254,11.9748039245605,14.1285429000854,15.73069190979,17.0018672943115
10,"TSARATANANA","TSARATANANA",20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789,20.1585464477539,19.9038467407227,19.3946628570557,17.9923667907715,15.3321561813354,13.5790109634399,13.0404443740845,13.2272663116455,14.3185987472534,16.3401203155518,17.9890441894531,19.2300796508789
11,"FASINTSARA","FASINTSARA",18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377,18.880521774292,18.7460384368896,18.1581840515137,16.6983299255371,13.8888111114502,12.2210731506348,11.6924915313721,11.8858022689819,12.9117813110352,15.0096263885498,16.691255569458,18.0146656036377
12,"MAROHARATRA","MAROHARATRA",19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835,19.4851341247559,19.3415145874023,18.7480030059814,17.3838195800781,14.6319875717163,12.9841194152832,12.4691209793091,12.6404609680176,13.644437789917,15.6415843963623,17.3182945251465,18.587911605835
13,"MAROTOKO","MAROTOKO",20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076,20.993673324585,20.7860870361328,20.2278003692627,18.8598670959473,16.1592750549316,14.4762353897095,13.8044414520264,14.0753164291382,15.1643629074097,17.1917667388916,18.8025684356689,20.0049419403076
14,"ANTARETRA","ANTARETRA",20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621,20.9503803253174,20.6940727233887,20.1364822387695,18.7840728759766,16.1631908416748,14.4797439575195,13.8644227981567,13.9733753204346,15.0893049240112,17.0409526824951,18.6853446960449,19.8860740661621
15,"ANTSINDRA","ANTSINDRA",19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145,19.9416580200195,19.749439239502,19.2132949829102,17.8655738830566,15.1619720458984,13.4385566711426,12.9144468307495,13.129298210144,14.1621894836426,16.2036094665527,17.7959861755371,19.0942878723145
2,"AMBOHIMANGA DU SUD","AMBOHIMANGA DU SUD",19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045,19.1098289489746,18.9041748046875,18.3423404693604,16.8476791381836,14.1312065124512,12.3915100097656,11.8239593505859,12.1062355041504,13.1969337463379,15.2893180847168,16.9270267486572,18.2937297821045
3,"KELILALINA","KELILALINA",19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094,19.2935009002686,18.9915027618408,18.4801483154297,17.0477447509766,14.4108858108521,12.6175384521484,11.9815692901611,12.2491903305054,13.4083337783813,15.5336055755615,17.2092151641846,18.4451599121094
4,"AMBOHIMIERA","AMBOHIMIERA",17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809,17.6793441772461,17.3584480285645,16.888500213623,15.390606880188,12.7881736755371,10.929859161377,10.2839546203613,10.5375757217407,11.7826538085938,13.8964776992798,15.5812711715698,16.8574485778809
